video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
pG_BwgjkFTk,Tina Huang,My favourite thing about being a data scientist 👩‍💻,"✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk 

📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2023-03-12T15:00:36Z,9192,703,,18,PT42S,hd,false
VznoKyh6AXs,Tina Huang,How to learn to code FAST using ChatGPT (it's a game changer seriously),"To try everything Brilliant has to offer—free—for a full 30 days, visit http://brilliant.org/TinaHuang/. The first 200 of you will get 20% off Brilliant’s annual premium subscription.

I wish ChatGPT was around when I was learning to code omg. Here I even link it for you: https://chat.openai.com/ 

✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

Study plan prompt: 
""Act as a coding tutor that creates study plans to help people learn to code. You will be provided with the goal of the student, their time commitment, and resource preferences. You will create a study plan with timelines and links to resources. Only include relevant resources because time is limited.  My first request - ""I want to become a data scientist but I do not know how to code. I can study 10 hours per week and only want video resources. I want to learn to code in python. Create a study plan for me."" 

🖱️Links mentioned in video
========================
naruto project code: https://drive.google.com/file/d/1RBbGg3SkTep3potvCMpFEN-UXa1OoaJ5/view?usp=sharing 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk

⏰Timestamps
========================
00:00 overview 
01:41 what is chatgpt 
02:41 design study plan 
05:21 study plan framework 
11:06 design a project! 
13:22 does the code work tho 
15:07 chatgpt as a tutor 
16:54 prompt engineering 

📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2023-03-02T16:00:15Z,484779,23398,,817,PT22M,hd,false
fr5l904EF58,Tina Huang,How Your Environment Can Improve (Or Destroy) Your Life,"Visit https://365datascience.pxf.io/WD0za3 to join millions of students and start studying with 365 Data Science today. Btw there's a promotion right now to save 60% off an annual plan! 

✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk


📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2023-02-13T15:00:22Z,35362,2283,,84,PT12M58S,hd,false
XLoMFXGTczU,Tina Huang,Why You Will Pick the Wrong Career,"Keep exploring at http://www.brilliant.org/TinaHuang/. Get started for free, and hurry—the first 200 people get 20% off an annual premium subscription.

✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk

📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2023-01-28T17:19:20Z,401891,21068,,796,PT7M13S,hd,false
w8opECLgYQU,Tina Huang,"64 self-help books, summarized in 1 sentence each.","The first 500 visitors to https://www.shortform.com/tinahuang will receive a free trial and a 20% discount! 

✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk

⏰Timestamps
========================
00:00 intro 
1:00 crucial conversations 
1:30 the power of habit 
1:45 anxiety 
2:18 algorithm to live by 
2:54 the almanack of naval ravikant 
3:50 the mountain is you 
4:12 why we sleep
4:33 12 rules of life 
5:23 13 things mentally strong people don’t do 
6:12 think like a monk 
6:42 shoe dog
7:57 the great mental models
8:27 the E myth revisited
8:46 the toilet paper entrepreneur 
8:58 profit first 
9:05 finish 
9:20 David and Goliath 
9:48 Quiet 
10:04 The Tao of Seneca
10:18 Meditations
10:34 The Anthropocene Reviewed 
11:05 Barking Up the Wrong Tree 
11:32 How to Overcome Your Childhood 
12:06 Storyworthy 
12:42 Atlas of the Heart 
13:28 Plays Well With Others 
13:48 The Simple Path to Wealth
14:25 Mindshift 
14:45 A Mind for Numbers
15:05 The Body Keeps the Score 
15:51 The Millionaire Fastlane 
16:28 How to Not Die Alone 
17:19 Never Split the Difference 
17:36 Attached 
18:56 The 80/20 Principle 
19:35 Atomic Habits 
20:03 Master Your Emotions
20:17 Daily Rituals: How Artists Work 
20:39 Mans Search for Meaning 
21:07 The Richest Man in Babylon 
21:35 Zen and the Art of Motorcycle Maintenance
21:53 The Psychology of Money 
22:23 The Defining Decade 
23:08 The War of Art 
23:49 The Dip 
24:17 Your Money or Your Life
25:00 A Million Miles and a Thousand Years 
25:46 Hooked 
26:05 The One Thing 
26:22 The Motivation Myth 
26:32 The Four Hour Work Week
26:47 Thinking in Bets 
27:15 The 4 Disciples of Execution 
27:26 Ultralearning
27:40 Peak 
27:56 Grit 
28:21 Productivity Project 
28:42 Deep Work 
29:08 Digital Minimalism
29:33 So Good They Can’t Ignore You
30:12 The Life Changing Magic of Tidying Up  
30:37 The Renaissance Soul 
31:08 Mastery

📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2023-01-10T16:00:34Z,51853,3309,,199,PT31M56S,hd,false
I-4xBROt2Zc,Tina Huang,How to Completely Transform Your Life in 6 Months (the butterfly effect 🦋),"Visit https://365datascience.pxf.io/WD0za3 to join millions of students and start studying with 365 Data Science today. Btw there's a promotion right now to save 60% off an annual plan! 

✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk

📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2023-01-01T16:00:09Z,537994,30216,,454,PT12M28S,hd,false
uzCTHdm0T_Q,Tina Huang,Self Study Traps to Avoid in 2023 (stop self-sabotaging!),"Start building your ideal daily routine! The first 100 people who click on the link will get 25% OFF on Fabulous Premium: http://thefab.co/tinahuang2

✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk

📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2022-12-31T15:00:42Z,348585,19178,,328,PT12M45S,hd,false
pwLaS7nPRxo,Tina Huang,Power From Adversity: how to harness negative emotions for motivation (very powerful!),"Keep exploring at http://www.brilliant.org/TinaHuang/. Get started for free, and hurry—the first 200 people get 20% off an annual premium subscription.

✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk

📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2022-12-29T21:00:58Z,21914,1453,,99,PT12M25S,hd,false
tmXcKiVwJWg,Tina Huang,Tech Layoffs: important lessons to recession proof yourself,"Keep exploring at http://www.brilliant.org/TinaHuang/. Get started for free, and hurry—the first 200 people get 20% off an annual premium subscription.

✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk

⏰Timestamps
========================
00:00 intro 

📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2022-11-27T14:40:42Z,101822,4793,,371,PT11M26S,hd,false
wGD_wmBZaE8,Tina Huang,How I Found My Perfect Career (advice for indecisive people and career changers),"Visit https://365datascience.pxf.io/WD0za3 to join millions of students and start studying with 365 Data Science today!

In this video, I talk about my path to finding my perfect career. A very not straight path. 

✉️ NEWSLETTER: https://tinahuang.substack.com/ 
It's about learning, coding, and generally how to get your sh*t together c: 

🔗Affiliates
========================
My SQL for data science interviews course (10 full interviews):
https://365datascience.com/learn-sql-for-data-science-interviews/ 

365 Data Science: 
https://365datascience.pxf.io/WD0za3 (link for 57% discount for their complete data science training)

Check out StrataScratch for data science interview prep: 
https://stratascratch.com/?via=tina

🎥 My filming setup 
========================
📷 camera: https://amzn.to/3LHbi7N
🎤 mic: https://amzn.to/3LqoFJb
🔭 tripod: https://amzn.to/3DkjGHe
💡 lights: https://amzn.to/3LmOhqk

⏰Timestamps
========================
00:00 intro 

📲Socials 
========================
instagram: https://www.instagram.com/hellotinah/
linkedin: https://www.linkedin.com/in/tinaw-h/ 
discord: https://discord.gg/5mMAtprshX

🤯Study with Tina 
========================
Study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

How to make a studying scoreboard: 
https://www.youtube.com/watch?v=KAVw910mIrI

Scoreboard website: 
scoreboardswithtina.com

livestreaming google calendar:
https://bit.ly/3wvPzHB

🎥Other videos you might be interested in
========================
How I consistently study with a full time job:
https://www.youtube.com/watch?v=INymz5VwLmk

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

🐈‍⬛🐈‍⬛About me 
========================
Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 

📧Contact
========================
youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

========================
Some links are affiliate links and I may receive a small portion of sales price at no cost to you. I really appreciate your support in helping improve this channel! :)",,2022-11-01T17:56:58Z,306509,20303,,608,PT13M45S,hd,false
